=============BTC 7, 10=============
开多:2019-08-02T02:00:00, 开仓价:216.00, 平多:2019-08-04T12:00:00, 平仓价:219.75, 盈亏1.74%
开空:2019-08-04T12:00:00, 开仓价:219.75, 平空:2019-08-05T02:00:00, 平仓价:222.48, 盈亏-1.24%
开多:2019-08-05T02:00:00, 开仓价:222.48, 平多:2019-08-06T22:00:00, 平仓价:230.08, 盈亏3.42%
开空:2019-08-06T22:00:00, 开仓价:230.08, 平空:2019-08-11T12:00:00, 平仓价:209.74, 盈亏8.84%
开多:2019-08-11T12:00:00, 开仓价:209.74, 平多:2019-08-12T20:00:00, 平仓价:212.11, 盈亏1.13%
开空:2019-08-12T20:00:00, 开仓价:212.11, 平空:2019-08-17T04:00:00, 平仓价:185.91, 盈亏12.35%
开多:2019-08-17T04:00:00, 开仓价:185.91, 平多:2019-08-17T10:00:00, 平仓价:184.12, 盈亏-0.96%
开空:2019-08-17T10:00:00, 开仓价:184.12, 平空:2019-08-17T12:00:00, 平仓价:185.41, 盈亏-0.70%
开多:2019-08-17T12:00:00, 开仓价:185.41, 平多:2019-08-17T22:00:00, 平仓价:184.24, 盈亏-0.63%
开空:2019-08-17T22:00:00, 开仓价:184.24, 平空:2019-08-18T14:00:00, 平仓价:184.78, 盈亏-0.29%
开多:2019-08-18T14:00:00, 开仓价:184.78, 平多:2019-08-20T18:00:00, 平仓价:198.01, 盈亏7.16%
开空:2019-08-20T18:00:00, 开仓价:198.01, 平空:2019-08-22T20:00:00, 平仓价:189.03, 盈亏4.53%
开多:2019-08-22T20:00:00, 开仓价:189.03, 平多:2019-08-24T16:00:00, 平仓价:189.02, 盈亏-0.01%
开空:2019-08-24T16:00:00, 开仓价:189.02, 平空:2019-08-25T16:00:00, 平仓价:191.17, 盈亏-1.14%
开多:2019-08-25T16:00:00, 开仓价:191.17, 平多:2019-08-25T18:00:00, 平仓价:189.66, 盈亏-0.79%
开空:2019-08-25T18:00:00, 开仓价:189.66, 平空:2019-08-25T20:00:00, 平仓价:191.33, 盈亏-0.88%
开多:2019-08-25T20:00:00, 开仓价:191.33, 平多:2019-08-25T22:00:00, 平仓价:188.03, 盈亏-1.73%
开空:2019-08-25T22:00:00, 开仓价:188.03, 平空:2019-08-26T10:00:00, 平仓价:190.65, 盈亏-1.40%
开多:2019-08-26T10:00:00, 开仓价:190.65, 平多:2019-08-27T00:00:00, 平仓价:188.07, 盈亏-1.35%
开空:2019-08-27T00:00:00, 开仓价:188.07, 平空:2019-09-01T04:00:00, 平仓价:174.22, 盈亏7.37%
开多:2019-09-01T04:00:00, 开仓价:174.22, 平多:2019-09-02T00:00:00, 平仓价:170.09, 盈亏-2.37%
开空:2019-09-02T00:00:00, 开仓价:170.09, 平空:2019-09-02T04:00:00, 平仓价:170.87, 盈亏-0.46%
开多:2019-09-02T04:00:00, 开仓价:170.87, 平多:2019-09-04T16:00:00, 平仓价:178.02, 盈亏4.18%
开空:2019-09-04T16:00:00, 开仓价:178.02, 平空:2019-09-06T12:00:00, 平仓价:176.00, 盈亏1.14%
开多:2019-09-06T12:00:00, 开仓价:176.00, 平多:2019-09-07T02:00:00, 平仓价:170.84, 盈亏-2.93%
开空:2019-09-07T02:00:00, 开仓价:170.84, 平空:2019-09-07T22:00:00, 平仓价:174.87, 盈亏-2.36%
开多:2019-09-07T22:00:00, 开仓价:174.87, 平多:2019-09-09T12:00:00, 平仓价:178.92, 盈亏2.31%
开空:2019-09-09T12:00:00, 开仓价:178.92, 平空:2019-09-09T18:00:00, 平仓价:183.51, 盈亏-2.57%
开多:2019-09-09T18:00:00, 开仓价:183.51, 平多:2019-09-10T20:00:00, 平仓价:180.59, 盈亏-1.59%
开空:2019-09-10T20:00:00, 开仓价:180.59, 平空:2019-09-12T20:00:00, 平仓价:180.45, 盈亏0.08%
开多:2019-09-12T20:00:00, 开仓价:180.45, 平多:2019-09-19T08:00:00, 平仓价:211.33, 盈亏17.12%
开空:2019-09-19T08:00:00, 开仓价:211.33, 平空:2019-09-20T00:00:00, 平仓价:224.13, 盈亏-6.06%
开多:2019-09-20T00:00:00, 开仓价:224.13, 平多:2019-09-21T16:00:00, 平仓价:220.36, 盈亏-1.68%
开空:2019-09-21T16:00:00, 开仓价:220.36, 平空:2019-09-21T22:00:00, 平仓价:223.72, 盈亏-1.53%
开多:2019-09-21T22:00:00, 开仓价:223.72, 平多:2019-09-22T00:00:00, 平仓价:220.36, 盈亏-1.50%
开空:2019-09-22T00:00:00, 开仓价:220.36, 平空:2019-09-28T02:00:00, 平仓价:166.97, 盈亏24.23%
开多:2019-09-28T02:00:00, 开仓价:166.97, 平多:2019-09-29T12:00:00, 平仓价:171.37, 盈亏2.63%
开空:2019-09-29T12:00:00, 开仓价:171.37, 平空:2019-09-30T16:00:00, 平仓价:172.41, 盈亏-0.61%
开多:2019-09-30T16:00:00, 开仓价:172.41, 平多:2019-10-02T00:00:00, 平仓价:173.77, 盈亏0.79%
开空:2019-10-02T00:00:00, 开仓价:173.77, 平空:2019-10-03T02:00:00, 平仓价:177.69, 盈亏-2.26%
开多:2019-10-03T02:00:00, 开仓价:177.69, 平多:2019-10-03T18:00:00, 平仓价:176.07, 盈亏-0.91%
开空:2019-10-03T18:00:00, 开仓价:176.07, 平空:2019-10-04T22:00:00, 平仓价:174.89, 盈亏0.67%
开多:2019-10-04T22:00:00, 开仓价:174.89, 平多:2019-10-05T16:00:00, 平仓价:173.21, 盈亏-0.96%
开空:2019-10-05T16:00:00, 开仓价:173.21, 平空:2019-10-06T04:00:00, 平仓价:175.84, 盈亏-1.52%
