开空:2019-10-13T02:00:00, 开仓价:180.87, 平空:2019-10-13T11:00:00, 平仓价:182.87, 盈亏-1.11%
开多:2019-10-13T11:00:00, 开仓价:182.87, 平多:2019-10-13T14:00:00, 平仓价:181.20, 盈亏-0.91%
开空:2019-10-13T14:00:00, 开仓价:181.20, 平空:2019-10-13T16:00:00, 平仓价:182.58, 盈亏-0.76%
开多:2019-10-13T16:00:00, 开仓价:182.58, 平多:2019-10-14T04:00:00, 平仓价:181.10, 盈亏-0.81%
开空:2019-10-14T04:00:00, 开仓价:181.10, 平空:2019-10-14T11:00:00, 平仓价:183.16, 盈亏-1.14%
开多:2019-10-14T11:00:00, 开仓价:183.16, 平多:2019-10-14T23:00:00, 平仓价:182.68, 盈亏-0.26%
开空:2019-10-14T23:00:00, 开仓价:182.68, 平空:2019-10-15T00:00:00, 平仓价:186.52, 盈亏-2.10%
开多:2019-10-15T00:00:00, 开仓价:186.52, 平多:2019-10-15T14:00:00, 平仓价:185.37, 盈亏-0.61%
开空:2019-10-15T14:00:00, 开仓价:185.37, 平空:2019-10-17T16:00:00, 平仓价:176.29, 盈亏4.90%
开多:2019-10-17T16:00:00, 开仓价:176.29, 平多:2019-10-18T11:00:00, 平仓价:176.41, 盈亏0.07%
开空:2019-10-18T11:00:00, 开仓价:176.41, 平空:2019-10-19T03:00:00, 平仓价:174.47, 盈亏1.10%
开多:2019-10-19T03:00:00, 开仓价:174.47, 平多:2019-10-19T08:00:00, 平仓价:172.47, 盈亏-1.15%
开空:2019-10-19T08:00:00, 开仓价:172.47, 平空:2019-10-19T11:00:00, 平仓价:174.19, 盈亏-1.00%
总盈亏13.00%
=============EOS0 7, 10=============
开多:2019-09-12T07:00:00, 开仓价:3.76, 平多:2019-09-12T14:00:00, 平仓价:3.70, 盈亏-1.44%
开空:2019-09-12T14:00:00, 开仓价:3.70, 平空:2019-09-12T21:00:00, 平仓价:3.78, 盈亏-2.03%
开多:2019-09-12T21:00:00, 开仓价:3.78, 平多:2019-09-13T10:00:00, 平仓价:3.73, 盈亏-1.19%
开空:2019-09-13T10:00:00, 开仓价:3.73, 平空:2019-09-13T11:00:00, 平仓价:3.75, 盈亏-0.48%
开多:2019-09-13T11:00:00, 开仓价:3.75, 平多:2019-09-13T13:00:00, 平仓价:3.73, 盈亏-0.48%
开空:2019-09-13T13:00:00, 开仓价:3.73, 平空:2019-09-13T16:00:00, 平仓价:3.83, 盈亏-2.60%
开多:2019-09-13T16:00:00, 开仓价:3.83, 平多:2019-09-14T12:00:00, 平仓价:3.79, 盈亏-1.07%
开空:2019-09-14T12:00:00, 开仓价:3.79, 平空:2019-09-14T15:00:00, 平仓价:3.80, 盈亏-0.40%
开多:2019-09-14T15:00:00, 开仓价:3.80, 平多:2019-09-14T17:00:00, 平仓价:3.79, 盈亏-0.34%
